Track,tr
Fuel,true,Tyre,false
Results posted 10 Dec 2023, 19:50
D Girard,93 Brawn GP,5,1:38.629,+ 0:03.169,188.42,7
D Girard,93 Brawn GP,6,1:54.671,+ 0:11.235,162.06,14
D Girard,93 Brawn GP,PIT,2.7 seconds / Soft tyres,,,
D Girard,93 Brawn GP,7,1:41.557,+ 0:13.181,182.98,15
D Girard,93 Brawn GP,8,1:38.693,+ 0:12.054,188.29,15
D Girard,93 Brawn GP,9,1:38.402,+ 0:09.385,188.85,11
D Girard,93 Brawn GP,10,1:38.037,+ 0:07.816,189.55,11
D Girard,93 Brawn GP,11,1:37.606,+ 0:06.101,190.39,10
D Girard,93 Brawn GP,12,1:37.897,+ 0:02.728,189.82,4
D Girard,93 Brawn GP,13,1:37.994,+ 0:02.201,189.64,4
D Girard,93 Brawn GP,14,1:54.351,+ 0:16.137,162.51,20
D Girard,93 Brawn GP,PIT,2.9 seconds / Soft tyres,,,
D Girard,93 Brawn GP,15,1:40.666,+ 0:13.560,184.60,17
D Girard,93 Brawn GP,16,1:37.603,+ 0:13.686,190.40,14
D Girard,93 Brawn GP,17,1:34.932,+ 0:10.911,195.75,13
D Girard,93 Brawn GP,18,1:36.842,+ 0:05.332,191.89,7
D Girard,93 Brawn GP,19,1:37.012,+ 0:04.203,191.56,7
D Girard,93 Brawn GP,20,1:36.990,+ 0:01.320,191.60,3
D Girard,93 Brawn GP,21,1:37.546,+ 0:01.319,190.51,3
D Girard,93 Brawn GP,22,1:52.846,+ 0:08.636,164.68,14
D Girard,93 Brawn GP,PIT,2.9 seconds / Soft tyres,,,
D Girard,93 Brawn GP,23,1:39.383,+ 0:10.473,186.99,16
D Girard,93 Brawn GP,24,1:37.532,+ 0:10.572,190.53,11
D Girard,93 Brawn GP,25,1:36.304,+ 0:09.288,192.96,10
D Girard,93 Brawn GP,26,1:36.593,+ 0:05.396,192.39,8
D Girard,93 Brawn GP,27,1:35.717,+ 0:03.664,194.15,5
D Girard,93 Brawn GP,28,1:36.893,+ 0:03.380,191.79,2
D Girard,93 Brawn GP,29,1:37.399,+ 0:03.268,190.79,2
D Girard,93 Brawn GP,30,1:52.106,+ 0:07.737,165.76,13
D Girard,93 Brawn GP,PIT,2.7 seconds / Soft tyres,,,
D Girard,93 Brawn GP,31,1:37.398,+ 0:08.278,190.80,13
D Girard,93 Brawn GP,32,1:36.555,+ 0:07.592,192.46,7
D Girard,93 Brawn GP,33,1:36.470,+ 0:06.526,192.63,7
D Girard,93 Brawn GP,34,1:36.220,+ 0:02.676,193.13,5
D Girard,93 Brawn GP,35,1:37.116,+ 0:02.976,191.35,5
D Girard,93 Brawn GP,36,1:36.268,+ 0:02.954,193.04,3
D Girard,93 Brawn GP,37,1:36.543,+ 0:02.625,192.49,2
D Girard,93 Brawn GP,38,1:52.150,+ 0:07.742,165.70,10
D Girard,93 Brawn GP,PIT,2.9 seconds / Soft tyres,,,
D Girard,93 Brawn GP,39,1:38.513,+ 0:09.277,188.64,12
D Girard,93 Brawn GP,40,1:36.323,+ 0:06.573,192.93,6
D Girard,93 Brawn GP,41,1:36.510,+ 0:06.115,192.55,6
D Girard,93 Brawn GP,42,1:36.219,+ 0:03.542,193.13,4
D Girard,93 Brawn GP,43,1:36.147,+ 0:03.765,193.28,4
D Girard,93 Brawn GP,44,1:35.629,+ 0:03.295,194.33,3
D Girard,93 Brawn GP,45,1:36.726,+ 0:03.597,192.12,3
D Girard,93 Brawn GP,46,1:51.679,+ 0:08.229,166.40,7
D Girard,93 Brawn GP,PIT,2.9 seconds / Soft tyres,,,
D Girard,93 Brawn GP,47,1:39.480,+ 0:11.066,186.80,10
D Girard,93 Brawn GP,48,1:35.969,+ 0:06.098,193.64,4
D Girard,93 Brawn GP,49,1:36.767,+ 0:06.811,192.04,5
D Girard,93 Brawn GP,50,1:35.870,+ 0:06.837,193.84,4
D Girard,93 Brawn GP,51,1:36.220,+ 0:07.441,193.13,4
D Girard,93 Brawn GP,52,1:36.848,+ 0:08.403,191.88,5
D Girard,93 Brawn GP,53,1:37.555,+ 0:09.804,190.49,6
D Girard,93 Brawn GP,54,1:37.598,+ 0:11.655,190.41,7
M Master,2 Porsche,START,Super soft tyres,,,6
M Master,2 Porsche,1,1:42.195,+ 0:01.494,181.84,5
M Master,2 Porsche,2,1:40.177,+ 0:02.908,185.50,6
M Master,2 Porsche,3,1:38.015,+ 0:02.729,189.60,5
M Master,2 Porsche,4,1:38.112,+ 0:02.170,189.41,5
M Master,2 Porsche,5,1:39.002,+ 0:02.028,187.71,5
M Master,2 Porsche,6,1:54.785,+ 0:10.207,161.90,11
M Master,2 Porsche,PIT,2.4 seconds / Super soft tyres,,,
M Master,2 Porsche,7,1:39.488,+ 0:10.084,186.79,9
M Master,2 Porsche,8,1:37.202,+ 0:07.466,191.18,7
M Master,2 Porsche,9,1:37.793,+ 0:04.189,190.03,4
M Master,2 Porsche,10,1:37.539,+ 0:02.121,190.52,3
M Master,2 Porsche,11,1:37.819,+ 0:00.620,189.98,2
M Master,2 Porsche,12,1:52.483,+ 0:11.832,165.21,18
M Master,2 Porsche,PIT,2.7 seconds / Super soft tyres,,,
M Master,2 Porsche,13,1:38.075,+ 0:11.387,189.48,17
M Master,2 Porsche,14,1:35.727,+ 0:06.700,194.13,3
M Master,2 Porsche,15,1:36.544,-,192.48,1
M Master,2 Porsche,16,1:37.476,-,190.64,1
M Master,2 Porsche,17,1:37.707,-,190.19,1
M Master,2 Porsche,18,1:53.827,+ 0:11.406,163.26,14
M Master,2 Porsche,PIT,2.8 seconds / Soft tyres,,,
M Master,2 Porsche,19,1:39.397,+ 0:12.662,186.96,17
M Master,2 Porsche,20,1:37.342,+ 0:10.131,190.91,12
M Master,2 Porsche,21,1:37.248,+ 0:09.831,191.09,11
M Master,2 Porsche,22,1:36.093,+ 0:00.395,193.39,2
M Master,2 Porsche,23,1:37.150,-,191.28,1
M Master,2 Porsche,24,1:37.433,-,190.73,1
M Master,2 Porsche,25,1:37.588,-,190.43,1
M Master,2 Porsche,26,1:52.901,+ 0:12.416,164.60,14
M Master,2 Porsche,PIT,2.6 seconds / Soft tyres,,,
M Master,2 Porsche,27,1:38.936,+ 0:13.902,187.83,13
M Master,2 Porsche,28,1:36.790,+ 0:13.516,192.00,11
M Master,2 Porsche,29,1:36.823,+ 0:12.828,191.93,10
M Master,2 Porsche,30,1:36.413,+ 0:01.604,192.75,3
M Master,2 Porsche,31,1:36.320,+ 0:01.066,192.93,3
M Master,2 Porsche,32,1:36.174,-,193.22,1
M Master,2 Porsche,33,1:37.536,-,190.53,1
M Master,2 Porsche,34,1:52.656,+ 0:12.585,164.96,13
M Master,2 Porsche,PIT,2.8 seconds / Soft tyres,,,
M Master,2 Porsche,35,1:38.896,+ 0:14.665,187.91,17
M Master,2 Porsche,36,1:36.914,+ 0:15.289,191.75,14
M Master,2 Porsche,37,1:36.183,+ 0:14.601,193.21,12
M Master,2 Porsche,38,1:36.033,+ 0:03.600,193.51,3
M Master,2 Porsche,39,1:35.942,+ 0:02.564,193.69,2
M Master,2 Porsche,40,1:36.462,-,192.65,1
M Master,2 Porsche,41,1:36.968,-,191.64,1
M Master,2 Porsche,42,1:52.117,+ 0:13.324,165.75,13
M Master,2 Porsche,PIT,2.8 seconds / Super soft tyres,,,
M Master,2 Porsche,43,1:37.352,+ 0:14.753,190.89,15
M Master,2 Porsche,44,1:35.836,+ 0:14.489,193.91,15
M Master,2 Porsche,45,1:35.670,+ 0:13.734,194.24,12
M Master,2 Porsche,46,1:35.455,+ 0:02.143,194.68,2
M Master,2 Porsche,47,1:36.273,+ 0:01.773,193.03,2
M Master,2 Porsche,48,1:52.022,+ 0:12.858,165.89,12
M Master,2 Porsche,PIT,2.6 seconds / Super soft tyres,,,
M Master,2 Porsche,49,1:37.072,+ 0:13.876,191.44,14
M Master,2 Porsche,50,1:35.513,+ 0:13.545,194.56,14
M Master,2 Porsche,51,1:35.015,+ 0:12.945,195.58,11
M Master,2 Porsche,52,1:35.568,+ 0:12.628,194.45,11
M Master,2 Porsche,53,1:36.357,+ 0:12.831,192.86,10
M Master,2 Porsche,54,1:37.149,+ 0:14.233,191.29,13
M Dumont,91 String Cheese,START,Super soft tyres,,,7
M Dumont,91 String Cheese,1,1:42.232,+ 0:01.760,181.77,6
M Dumont,91 String Cheese,2,1:39.704,+ 0:02.700,186.38,5
M Dumont,91 String Cheese,3,1:38.706,+ 0:03.214,188.27,6
M Dumont,91 String Cheese,4,1:38.865,+ 0:03.407,187.97,7
M Dumont,91 String Cheese,5,1:39.359,+ 0:03.621,187.03,8
M Dumont,91 String Cheese,6,1:55.101,+ 0:12.116,161.45,16
